time_hour,value_hour,date
1483228800,30,2017-01-01 00:00:00
1483232400,34,2017-01-01 01:00:00
1483236000,33,2017-01-01 02:00:00
1483239600,43,2017-01-01 03:00:00
1483243200,32,2017-01-01 04:00:00
1483246800,32,2017-01-01 05:00:00
1483250400,32,2017-01-01 06:00:00
1483254000,28,2017-01-01 07:00:00
1483257600,25,2017-01-01 08:00:00
1483261200,22,2017-01-01 09:00:00
1483264800,19,2017-01-01 10:00:00
1483268400,27,2017-01-01 11:00:00
1483272000,26,2017-01-01 12:00:00
1483275600,29,2017-01-01 13:00:00
1483279200,34,2017-01-01 14:00:00
1483282800,32,2017-01-01 15:00:00
1483286400,36,2017-01-01 16:00:00
1483290000,47,2017-01-01 17:00:00
1483293600,49,2017-01-01 18:00:00
1483297200,46,2017-01-01 19:00:00
1483300800,53,2017-01-01 20:00:00
1483304400,65,2017-01-01 21:00:00
1483308000,61,2017-01-01 22:00:00
1483311600,49,2017-01-01 23:00:00
1483315200,56,2017-01-02 00:00:00
1483318800,48,2017-01-02 01:00:00
1483322400,60,2017-01-02 02:00:00
1483326000,59,2017-01-02 03:00:00
1483329600,62,2017-01-02 04:00:00
1483333200,58,2017-01-02 05:00:00
1483336800,44,2017-01-02 06:00:00
1483340400,43,2017-01-02 07:00:00
1483344000,48,2017-01-02 08:00:00
1483347600,54,2017-01-02 09:00:00
1483351200,53,2017-01-02 10:00:00
1483354800,59,2017-01-02 11:00:00
1483358400,57,2017-01-02 12:00:00
1483362000,58,2017-01-02 13:00:00
1483365600,67,2017-01-02 14:00:00
1483369200,68,2017-01-02 15:00:00
1483372800,77,2017-01-02 16:00:00
1483376400,59,2017-01-02 17:00:00
1483380000,66,2017-01-02 18:00:00
1483383600,78,2017-01-02 19:00:00
1483387200,71,2017-01-02 20:00:00
1483390800,63,2017-01-02 21:00:00
1483394400,64,2017-01-02 22:00:00
1483398000,78,2017-01-02 23:00:00
1483401600,73,2017-01-03 00:00:00
1483405200,51,2017-01-03 01:00:00
1483408800,66,2017-01-03 02:00:00
1483412400,73,2017-01-03 03:00:00
1483416000,62,2017-01-03 04:00:00
1483419600,68,2017-01-03 05:00:00
1483423200,52,2017-01-03 06:00:00
1483426800,69,2017-01-03 07:00:00
1483430400,54,2017-01-03 08:00:00
1483434000,54,2017-01-03 09:00:00
1483437600,59,2017-01-03 10:00:00
1483441200,66,2017-01-03 11:00:00
1483444800,56,2017-01-03 12:00:00
1483448400,51,2017-01-03 13:00:00
1483452000,62,2017-01-03 14:00:00
1483455600,52,2017-01-03 15:00:00
1483459200,54,2017-01-03 16:00:00
1483462800,59,2017-01-03 17:00:00
1483466400,54,2017-01-03 18:00:00
1483470000,50,2017-01-03 19:00:00
1483473600,58,2017-01-03 20:00:00
1483477200,57,2017-01-03 21:00:00
1483480800,52,2017-01-03 22:00:00
1483484400,62,2017-01-03 23:00:00
1483488000,58,2017-01-04 00:00:00
1483491600,55,2017-01-04 01:00:00
1483495200,49,2017-01-04 02:00:00
1483498800,71,2017-01-04 03:00:00
1483502400,59,2017-01-04 04:00:00
1483506000,58,2017-01-04 05:00:00
1483509600,56,2017-01-04 06:00:00
1483513200,69,2017-01-04 07:00:00
1483516800,60,2017-01-04 08:00:00
1483520400,57,2017-01-04 09:00:00
1483524000,67,2017-01-04 10:00:00
1483527600,68,2017-01-04 11:00:00
1483531200,56,2017-01-04 12:00:00
1483534800,67,2017-01-04 13:00:00
1483538400,65,2017-01-04 14:00:00
1483542000,65,2017-01-04 15:00:00
1483545600,60,2017-01-04 16:00:00
1483549200,68,2017-01-04 17:00:00
1483552800,78,2017-01-04 18:00:00
1483556400,87,2017-01-04 19:00:00
1483560000,71,2017-01-04 20:00:00
1483563600,67,2017-01-04 21:00:00
1483567200,76,2017-01-04 22:00:00
1483570800,96,2017-01-04 23:00:00
1483574400,81,2017-01-05 00:00:00
1483578000,79,2017-01-05 01:00:00
1483581600,83,2017-01-05 02:00:00
1483585200,82,2017-01-05 03:00:00
1483588800,85,2017-01-05 04:00:00
1483592400,70,2017-01-05 05:00:00
1483596000,92,2017-01-05 06:00:00
1483599600,77,2017-01-05 07:00:00
1483603200,70,2017-01-05 08:00:00
1483606800,57,2017-01-05 09:00:00
1483610400,73,2017-01-05 10:00:00
1483614000,68,2017-01-05 11:00:00
1483617600,63,2017-01-05 12:00:00
1483621200,99,2017-01-05 13:00:00
1483624800,100,2017-01-05 14:00:00
1483628400,91,2017-01-05 15:00:00
1483632000,93,2017-01-05 16:00:00
1483635600,94,2017-01-05 17:00:00
1483639200,82,2017-01-05 18:00:00
1483642800,80,2017-01-05 19:00:00
1483646400,79,2017-01-05 20:00:00
1483650000,86,2017-01-05 21:00:00
1483653600,87,2017-01-05 22:00:00
1483657200,93,2017-01-05 23:00:00
1483660800,89,2017-01-06 00:00:00
1483664400,85,2017-01-06 01:00:00
1483668000,77,2017-01-06 02:00:00
1483671600,80,2017-01-06 03:00:00
1483675200,72,2017-01-06 04:00:00
1483678800,79,2017-01-06 05:00:00
1483682400,87,2017-01-06 06:00:00
1483686000,73,2017-01-06 07:00:00
1483689600,73,2017-01-06 08:00:00
1483693200,71,2017-01-06 09:00:00
1483696800,62,2017-01-06 10:00:00
1483700400,66,2017-01-06 11:00:00
1483704000,69,2017-01-06 12:00:00
1483707600,64,2017-01-06 13:00:00
1483711200,76,2017-01-06 14:00:00
1483714800,65,2017-01-06 15:00:00
1483718400,60,2017-01-06 16:00:00
1483722000,75,2017-01-06 17:00:00
1483725600,67,2017-01-06 18:00:00
1483729200,66,2017-01-06 19:00:00
1483732800,63,2017-01-06 20:00:00
1483736400,71,2017-01-06 21:00:00
1483740000,70,2017-01-06 22:00:00
1483743600,79,2017-01-06 23:00:00
1483747200,66,2017-01-07 00:00:00
1483750800,62,2017-01-07 01:00:00
1483754400,75,2017-01-07 02:00:00
1483758000,68,2017-01-07 03:00:00
1483761600,78,2017-01-07 04:00:00
1483765200,60,2017-01-07 05:00:00
1483768800,78,2017-01-07 06:00:00
1483772400,62,2017-01-07 07:00:00
1483776000,70,2017-01-07 08:00:00
1483779600,61,2017-01-07 09:00:00
1483783200,64,2017-01-07 10:00:00
1483786800,51,2017-01-07 11:00:00
1483790400,50,2017-01-07 12:00:00
1483794000,49,2017-01-07 13:00:00
1483797600,48,2017-01-07 14:00:00
1483801200,56,2017-01-07 15:00:00
1483804800,53,2017-01-07 16:00:00
1483808400,51,2017-01-07 17:00:00
1483812000,48,2017-01-07 18:00:00
1483815600,47,2017-01-07 19:00:00
1483819200,54,2017-01-07 20:00:00
1483822800,60,2017-01-07 21:00:00
1483826400,57,2017-01-07 22:00:00
1483830000,51,2017-01-07 23:00:00
1483833600,80,2017-01-08 00:00:00
1483837200,87,2017-01-08 01:00:00
1483840800,69,2017-01-08 02:00:00
1483844400,66,2017-01-08 03:00:00
1483848000,62,2017-01-08 04:00:00
1483851600,61,2017-01-08 05:00:00
1483855200,64,2017-01-08 06:00:00
1483858800,64,2017-01-08 07:00:00
1483862400,61,2017-01-08 08:00:00
1483866000,47,2017-01-08 09:00:00
1483869600,58,2017-01-08 10:00:00
1483873200,70,2017-01-08 11:00:00
1483876800,59,2017-01-08 12:00:00
1483880400,52,2017-01-08 13:00:00
1483884000,64,2017-01-08 14:00:00
1483887600,63,2017-01-08 15:00:00
1483891200,51,2017-01-08 16:00:00
1483894800,63,2017-01-08 17:00:00
1483898400,100,2017-01-08 18:00:00
1483902000,96,2017-01-08 19:00:00
1483905600,61,2017-01-08 20:00:00
1483909200,71,2017-01-08 21:00:00
1483912800,61,2017-01-08 22:00:00
1483916400,77,2017-01-08 23:00:00
1483920000,59,2017-01-09 00:00:00
1483923600,72,2017-01-09 01:00:00
1483927200,67,2017-01-09 02:00:00
1483930800,84,2017-01-09 03:00:00
1483934400,62,2017-01-09 04:00:00
1483938000,75,2017-01-09 05:00:00
1483941600,53,2017-01-09 06:00:00
1483945200,54,2017-01-09 07:00:00
1483948800,59,2017-01-09 08:00:00
1483952400,54,2017-01-09 09:00:00
1483956000,67,2017-01-09 10:00:00
1483959600,49,2017-01-09 11:00:00
1483963200,82,2017-01-09 12:00:00
1483966800,73,2017-01-09 13:00:00
1483970400,55,2017-01-09 14:00:00
1483974000,57,2017-01-09 15:00:00
1483977600,51,2017-01-09 16:00:00
1483981200,61,2017-01-09 17:00:00
1483984800,65,2017-01-09 18:00:00
1483988400,64,2017-01-09 19:00:00
1483992000,60,2017-01-09 20:00:00
1483995600,72,2017-01-09 21:00:00
1483999200,87,2017-01-09 22:00:00
1484002800,74,2017-01-09 23:00:00
1484006400,80,2017-01-10 00:00:00
1484010000,65,2017-01-10 01:00:00
1484013600,51,2017-01-10 02:00:00
1484017200,71,2017-01-10 03:00:00
1484020800,66,2017-01-10 04:00:00
1484024400,70,2017-01-10 05:00:00
1484028000,57,2017-01-10 06:00:00
1484031600,51,2017-01-10 07:00:00
1484035200,51,2017-01-10 08:00:00
1484038800,39,2017-01-10 09:00:00
1484042400,52,2017-01-10 10:00:00
1484046000,44,2017-01-10 11:00:00
1484049600,48,2017-01-10 12:00:00
1484053200,48,2017-01-10 13:00:00
1484056800,64,2017-01-10 14:00:00
1484060400,61,2017-01-10 15:00:00
1484064000,64,2017-01-10 16:00:00
1484067600,60,2017-01-10 17:00:00
1484071200,63,2017-01-10 18:00:00
1484074800,58,2017-01-10 19:00:00
1484078400,59,2017-01-10 20:00:00
1484082000,62,2017-01-10 21:00:00
1484085600,83,2017-01-10 22:00:00
1484089200,63,2017-01-10 23:00:00
1484092800,60,2017-01-11 00:00:00
1484096400,62,2017-01-11 01:00:00
1484100000,57,2017-01-11 02:00:00
1484103600,55,2017-01-11 03:00:00
1484107200,58,2017-01-11 04:00:00
1484110800,72,2017-01-11 05:00:00
1484114400,45,2017-01-11 06:00:00
1484118000,48,2017-01-11 07:00:00
1484121600,53,2017-01-11 08:00:00
1484125200,67,2017-01-11 09:00:00
1484128800,59,2017-01-11 10:00:00
1484132400,66,2017-01-11 11:00:00
1484136000,83,2017-01-11 12:00:00
1484139600,73,2017-01-11 13:00:00
1484143200,71,2017-01-11 14:00:00
1484146800,69,2017-01-11 15:00:00
1484150400,63,2017-01-11 16:00:00
1484154000,68,2017-01-11 17:00:00
1484157600,83,2017-01-11 18:00:00
1484161200,77,2017-01-11 19:00:00
1484164800,71,2017-01-11 20:00:00
1484168400,74,2017-01-11 21:00:00
1484172000,73,2017-01-11 22:00:00
1484175600,77,2017-01-11 23:00:00
1484179200,92,2017-01-12 00:00:00
1484182800,87,2017-01-12 01:00:00
1484186400,67,2017-01-12 02:00:00
1484190000,89,2017-01-12 03:00:00
1484193600,79,2017-01-12 04:00:00
1484197200,86,2017-01-12 05:00:00
1484200800,79,2017-01-12 06:00:00
1484204400,81,2017-01-12 07:00:00
1484208000,68,2017-01-12 08:00:00
1484211600,69,2017-01-12 09:00:00
1484215200,73,2017-01-12 10:00:00
1484218800,61,2017-01-12 11:00:00
1484222400,64,2017-01-12 12:00:00
1484226000,70,2017-01-12 13:00:00
1484229600,64,2017-01-12 14:00:00
1484233200,69,2017-01-12 15:00:00
1484236800,66,2017-01-12 16:00:00
1484240400,64,2017-01-12 17:00:00
1484244000,60,2017-01-12 18:00:00
1484247600,59,2017-01-12 19:00:00
1484251200,77,2017-01-12 20:00:00
1484254800,71,2017-01-12 21:00:00
1484258400,64,2017-01-12 22:00:00
1484262000,56,2017-01-12 23:00:00
1484265600,62,2017-01-13 00:00:00
1484269200,72,2017-01-13 01:00:00
1484272800,67,2017-01-13 02:00:00
1484276400,57,2017-01-13 03:00:00
1484280000,71,2017-01-13 04:00:00
1484283600,58,2017-01-13 05:00:00
1484287200,55,2017-01-13 06:00:00
1484290800,64,2017-01-13 07:00:00
1484294400,47,2017-01-13 08:00:00
1484298000,47,2017-01-13 09:00:00
1484301600,50,2017-01-13 10:00:00
1484305200,51,2017-01-13 11:00:00
1484308800,57,2017-01-13 12:00:00
1484312400,51,2017-01-13 13:00:00
1484316000,62,2017-01-13 14:00:00
1484319600,49,2017-01-13 15:00:00
1484323200,54,2017-01-13 16:00:00
1484326800,54,2017-01-13 17:00:00
1484330400,55,2017-01-13 18:00:00
1484334000,57,2017-01-13 19:00:00
1484337600,55,2017-01-13 20:00:00
1484341200,48,2017-01-13 21:00:00
1484344800,57,2017-01-13 22:00:00
1484348400,64,2017-01-13 23:00:00
1484352000,70,2017-01-14 00:00:00
1484355600,70,2017-01-14 01:00:00
1484359200,64,2017-01-14 02:00:00
1484362800,66,2017-01-14 03:00:00
1484366400,51,2017-01-14 04:00:00
1484370000,49,2017-01-14 05:00:00
1484373600,50,2017-01-14 06:00:00
1484377200,45,2017-01-14 07:00:00
1484380800,42,2017-01-14 08:00:00
1484384400,46,2017-01-14 09:00:00
1484388000,60,2017-01-14 10:00:00
1484391600,56,2017-01-14 11:00:00
1484395200,54,2017-01-14 12:00:00
1484398800,54,2017-01-14 13:00:00
1484402400,60,2017-01-14 14:00:00
1484406000,44,2017-01-14 15:00:00
1484409600,57,2017-01-14 16:00:00
1484413200,53,2017-01-14 17:00:00
1484416800,48,2017-01-14 18:00:00
1484420400,52,2017-01-14 19:00:00
1484424000,57,2017-01-14 20:00:00
